serie,modelo,p,d,q,P,D,Q,AIC,BIC,ljung_box_p,jarque_bera_p
Pais_Honduras,"SARIMA(1,1,0)(1,1,1)[12]",1,1,0,1,1,1,402.92,414.52,0.0077,0.0
Pais_Honduras,"SARIMA(2,1,0)(1,1,0)[12]",2,1,0,1,1,0,403.03,414.62,0.0093,0.0
Pais_Honduras,"SARIMA(2,1,0)(0,1,1)[12]",2,1,0,0,1,1,403.05,414.64,0.0094,0.0
Pais_Honduras,"SARIMA(0,1,2)(1,1,0)[12]",0,1,2,1,1,0,403.06,414.65,0.0093,0.0
Pais_Honduras,"SARIMA(0,1,2)(0,1,1)[12]",0,1,2,0,1,1,403.07,414.66,0.0093,0.0
Pais_Honduras,"SARIMA(2,1,0)(0,1,0)[12]",2,1,0,0,1,0,404.13,412.82,0.018,0.0
Pais_Honduras,"SARIMA(0,1,2)(0,1,0)[12]",0,1,2,0,1,0,404.14,412.83,0.0181,0.0
Pais_Honduras,"SARIMA(2,1,0)(1,1,1)[12]",2,1,0,1,1,1,404.8,419.29,0.0084,0.0
Pais_Honduras,"SARIMA(0,1,2)(1,1,1)[12]",0,1,2,1,1,1,404.82,419.31,0.0083,0.0
Pais_Honduras,"SARIMA(1,1,2)(1,1,0)[12]",1,1,2,1,1,0,405.03,419.52,0.0094,0.0
Pais_Honduras,"SARIMA(1,1,2)(0,1,1)[12]",1,1,2,0,1,1,405.05,419.54,0.0095,0.0
Pais_Honduras,"SARIMA(1,1,2)(0,1,0)[12]",1,1,2,0,1,0,406.1,417.69,0.0185,0.0
Pais_Honduras,"SARIMA(2,1,1)(0,1,0)[12]",2,1,1,0,1,0,406.12,417.71,0.0181,0.0
Pais_Honduras,"SARIMA(1,1,2)(1,1,1)[12]",1,1,2,1,1,1,406.8,424.19,0.0085,0.0
Pais_EstadosUnidos,"SARIMA(2,1,2)(0,1,0)[12]",2,1,2,0,1,0,390.46,404.95,0.5932,0.0
Pais_EstadosUnidos,"SARIMA(2,1,2)(1,1,0)[12]",2,1,2,1,1,0,391.02,408.41,0.5769,0.0
Pais_EstadosUnidos,"SARIMA(2,1,2)(0,1,1)[12]",2,1,2,0,1,1,391.29,408.68,0.5796,0.0
Pais_EstadosUnidos,"SARIMA(2,1,2)(1,1,1)[12]",2,1,2,1,1,1,392.94,413.23,0.5774,0.0
Pais_EstadosUnidos,"SARIMA(1,1,2)(0,1,0)[12]",1,1,2,0,1,0,398.29,409.88,0.1474,0.0
Pais_EstadosUnidos,"SARIMA(1,1,2)(1,1,0)[12]",1,1,2,1,1,0,398.45,412.94,0.1447,0.0
Pais_EstadosUnidos,"SARIMA(1,1,2)(0,1,1)[12]",1,1,2,0,1,1,398.74,413.23,0.148,0.0
Pais_EstadosUnidos,"SARIMA(1,1,2)(1,1,1)[12]",1,1,2,1,1,1,400.42,417.81,0.1436,0.0
